description,industry,level,size,line_code,value,Unit,footnotes
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Food, beverage, & tobacco",2,total,D0511.04,99,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Textile, clothing, footwear, & leather",2,total,D0511.04,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Wood & paper product,2,total,D0511.04,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Printing, publishing, & recorded media",2,total,D0511.04,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Petroleum, coal, chemical, & associated product",2,total,D0511.04,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Non-metallic mineral product,2,total,D0511.04,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Metal product,2,total,D0511.04,87,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Transport and industrial machinery & equipment,2,total,D0511.04,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Other machinery & equipment,2,total,D0511.04,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Other manufacturing,2,total,D0511.04,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Electricity, gas, water, & waste services",1,total,D0511.04,6,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Construction,1,total,D0511.04,513,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Wholesale trade,1,total,D0511.04,156,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Machinery & equipment wholesaling,2,total,D0511.04,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Other wholesale trade,2,total,D0511.04,111,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Retail trade,1,total,D0511.04,408,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Accommodation & food services,1,total,D0511.04,711,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Transport, postal, & warehousing",1,total,D0511.04,126,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Information media & telecommunications,1,total,D0511.04,30,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Publishing,2,total,D0511.04,15,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Motion picture,2,total,D0511.04,3,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Telecommunications,2,total,D0511.04,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Financial & insurance services,1,total,D0511.04,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Finance,2,total,D0511.04,15,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Insurance,2,total,D0511.04,3,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Auxiliary,2,total,D0511.04,15,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Rental, hiring, & real estate services",1,total,D0511.04,45,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Professional, scientific, & technical services",1,total,D0511.04,327,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Computer systems design,2,total,D0511.04,69,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Other professional scientific,2,total,D0511.04,261,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Administrative & support services,1,total,D0511.04,141,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Education & training,1,total,D0511.04,39,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Health care & social assistance,1,total,D0511.04,162,Number of businesses,1 and 2 and 3 and 6
